DEBUG 2024-12-21 20:16:20,640 custom_storages [DEBUG] Generated filename: testdrone1.webp
DEBUG 2024-12-21 20:16:20,640 custom_storages [DEBUG] Final name for saving: testdrone1.webp
DEBUG 2024-12-21 20:16:20,640 custom_storages [DEBUG] Getting available name for: testdrone1.webp
DEBUG 2024-12-21 20:16:20,640 custom_storages [DEBUG] Original filename: testdrone1.webp
DEBUG 2024-12-21 20:16:20,640 custom_storages [DEBUG] Generated filename: testdrone1.webp
DEBUG 2024-12-21 20:19:22,904 custom_storages [DEBUG] Saving file: testdrone1.webp
DEBUG 2024-12-21 20:19:22,904 custom_storages [DEBUG] Getting available name for: testdrone1.webp
DEBUG 2024-12-21 20:19:22,904 custom_storages [DEBUG] Original filename: testdrone1.webp
DEBUG 2024-12-21 20:19:22,904 custom_storages [DEBUG] Generated filename: testdrone1.webp
DEBUG 2024-12-21 20:19:22,904 custom_storages [DEBUG] Final name for saving: testdrone1.webp
DEBUG 2024-12-21 20:19:22,904 custom_storages [DEBUG] Getting available name for: testdrone1.webp
DEBUG 2024-12-21 20:19:22,904 custom_storages [DEBUG] Original filename: testdrone1.webp
DEBUG 2024-12-21 20:19:22,904 custom_storages [DEBUG] Generated filename: testdrone1.webp
DEBUG 2024-12-22 02:20:23,972 custom_storages Normalized file name: media/test/test_image.webp
DEBUG 2024-12-22 02:20:23,972 custom_storages Checking if file exists: media/test/test_image.webp
DEBUG 2024-12-22 02:20:24,337 custom_storages File does not exist: media/test/test_image.webp
DEBUG 2024-12-22 02:20:24,337 custom_storages Normalized file name: media/test/test_image.webp
DEBUG 2024-12-22 02:20:24,337 custom_storages [MediaStorage] Attempting to save file: media/test/test_image.webp
DEBUG 2024-12-22 02:20:24,337 custom_storages Normalized file name: media/test/test_image.webp
DEBUG 2024-12-22 02:20:24,337 custom_storages Checking if file exists: media/test/test_image.webp
DEBUG 2024-12-22 02:20:24,413 custom_storages File does not exist: media/test/test_image.webp
DEBUG 2024-12-22 02:20:24,414 custom_storages Normalized file name: media/test/test_image.webp
INFO 2024-12-22 02:20:24,723 custom_storages [MediaStorage] File successfully saved: media/test/test_image.webp
